nta_code,year,eviction_count
East Flatbush-Farragut,2022,50
East Flatbush-Farragut,2023,105
East Flatbush-Farragut,2024,160
East Flatbush-Farragut,2025,136
East Flatbush-Farragut,2026,12
East Flushing,2017,13
East Flushing,2018,20
East Flushing,2019,18
East Flushing,2020,2
East Flushing,2022,1
East Flushing,2023,5
East Flushing,2024,13
East Flushing,2025,17
East Flushing,2026,2
East Harlem North,2017,165
East Harlem North,2018,159
East Harlem North,2019,143
East Harlem North,2020,23
East Harlem North,2021,2
East Harlem North,2022,28
East Harlem North,2023,124
East Harlem North,2024,133
East Harlem North,2025,133
East Harlem North,2026,10
East Harlem South,2017,111
East Harlem South,2018,109
East Harlem South,2019,100
East Harlem South,2020,10
East Harlem South,2021,1
East Harlem South,2022,19
East Harlem South,2023,69
East Harlem South,2024,94
East Harlem South,2025,91
East Harlem South,2026,11
East New York,2017,367
East New York,2018,378
East New York,2019,329
East New York,2020,44
East New York,2022,60
East New York,2023,197
East New York,2024,276
East New York,2025,264
East New York,2026,32
East New York (Pennsylvania Ave),2017,143
East New York (Pennsylvania Ave),2018,138
East New York (Pennsylvania Ave),2019,117
East New York (Pennsylvania Ave),2020,27
East New York (Pennsylvania Ave),2021,3
East New York (Pennsylvania Ave),2022,27
East New York (Pennsylvania Ave),2023,82
East New York (Pennsylvania Ave),2024,103
East New York (Pennsylvania Ave),2025,92
East New York (Pennsylvania Ave),2026,8
East Tremont,2017,249
East Tremont,2018,252
East Tremont,2019,193
East Tremont,2020,35
East Tremont,2021,1
East Tremont,2022,37
East Tremont,2023,154
East Tremont,2024,157
East Tremont,2025,200
East Tremont,2026,12
East Village,2017,51
East Village,2018,45
East Village,2019,36
East Village,2020,12
East Village,2021,2
East Village,2022,25
East Village,2023,43
East Village,2024,47
East Village,2025,38
East Village,2026,5
East Williamsburg,2017,34
East Williamsburg,2018,31
East Williamsburg,2019,40
East Williamsburg,2020,5
East Williamsburg,2022,19
East Williamsburg,2023,21
East Williamsburg,2024,29
East Williamsburg,2025,37
East Williamsburg,2026,9
Eastchester-Edenwald-Baychester,2017,118
Eastchester-Edenwald-Baychester,2018,104
Eastchester-Edenwald-Baychester,2019,110
Eastchester-Edenwald-Baychester,2020,22
Eastchester-Edenwald-Baychester,2022,19
Eastchester-Edenwald-Baychester,2023,55
Eastchester-Edenwald-Baychester,2024,54
Eastchester-Edenwald-Baychester,2025,67
Eastchester-Edenwald-Baychester,2026,8
Elmhurst,2017,90
Elmhurst,2018,116
Elmhurst,2019,67
Elmhurst,2020,8
Elmhurst,2022,17
Elmhurst,2023,47
Elmhurst,2024,82
Elmhurst,2025,104
Elmhurst,2026,8
Elmhurst-Maspeth,2017,20
Elmhurst-Maspeth,2018,24
Elmhurst-Maspeth,2019,20
Elmhurst-Maspeth,2020,10
Elmhurst-Maspeth,2022,5
Elmhurst-Maspeth,2023,8
Elmhurst-Maspeth,2024,18
Elmhurst-Maspeth,2025,37
Elmhurst-Maspeth,2026,6
Erasmus,2017,153
Erasmus,2018,113
Erasmus,2019,86
Erasmus,2020,31
Erasmus,2021,1
Erasmus,2022,37
Erasmus,2023,78
Erasmus,2024,86
Erasmus,2025,98
Erasmus,2026,11
Far Rockaway-Bayswater,2017,174
Far Rockaway-Bayswater,2018,145
Far Rockaway-Bayswater,2019,154
Far Rockaway-Bayswater,2020,29
Far Rockaway-Bayswater,2021,1
Far Rockaway-Bayswater,2022,24
Far Rockaway-Bayswater,2023,72
Far Rockaway-Bayswater,2024,165
Far Rockaway-Bayswater,2025,186
Far Rockaway-Bayswater,2026,28
Flatbush,2017,242
Flatbush,2018,280
Flatbush,2019,166
Flatbush,2020,26
Flatbush,2021,5
Flatbush,2022,70
Flatbush,2023,190
Flatbush,2024,219
Flatbush,2025,240
Flatbush,2026,28
Flatlands,2017,105
Flatlands,2018,120
Flatlands,2019,91
Flatlands,2020,19
Flatlands,2021,1
Flatlands,2022,26
Flatlands,2023,66
Flatlands,2024,51
Flatlands,2025,77
Flatlands,2026,6
Flushing,2017,72
Flushing,2018,130
Flushing,2019,98
Flushing,2020,14
Flushing,2022,16
Flushing,2023,52
Flushing,2024,86
Flushing,2025,117
Flushing,2026,10
Fordham South,2017,193
Fordham South,2018,164
Fordham South,2019,117
Fordham South,2020,28
Fordham South,2022,23
Fordham South,2023,103
Fordham South,2024,137
Fordham South,2025,135
Fordham South,2026,21
Forest Hills,2017,66
Forest Hills,2018,87
Forest Hills,2019,57
Forest Hills,2020,4
Forest Hills,2021,4
Forest Hills,2022,15
Forest Hills,2023,38
Forest Hills,2024,58
Forest Hills,2025,126
Forest Hills,2026,16
Fort Greene,2017,50
Fort Greene,2018,45
Fort Greene,2019,40
Fort Greene,2020,8
Fort Greene,2021,2
Fort Greene,2022,10
Fort Greene,2023,23
Fort Greene,2024,28
Fort Greene,2025,41
Fort Greene,2026,1
Fresh Meadows-Utopia,2017,27
Fresh Meadows-Utopia,2018,25
Fresh Meadows-Utopia,2019,20
Fresh Meadows-Utopia,2020,4
Fresh Meadows-Utopia,2022,5
Fresh Meadows-Utopia,2023,17
Fresh Meadows-Utopia,2024,14
Fresh Meadows-Utopia,2025,27
Fresh Meadows-Utopia,2026,1
Ft. Totten-Bay Terrace-Clearview,2017,16
Ft. Totten-Bay Terrace-Clearview,2018,12
Ft. Totten-Bay Terrace-Clearview,2019,13
Ft. Totten-Bay Terrace-Clearview,2020,3
Ft. Totten-Bay Terrace-Clearview,2022,2
Ft. Totten-Bay Terrace-Clearview,2023,7
Ft. Totten-Bay Terrace-Clearview,2024,13
Ft. Totten-Bay Terrace-Clearview,2025,5
Ft. Totten-Bay Terrace-Clearview,2026,3
Georgetown-Marine Park-Bergen Beach-Mill Basin,2017,43
Georgetown-Marine Park-Bergen Beach-Mill Basin,2018,42
Georgetown-Marine Park-Bergen Beach-Mill Basin,2019,31
Georgetown-Marine Park-Bergen Beach-Mill Basin,2020,4
Georgetown-Marine Park-Bergen Beach-Mill Basin,2021,1
Georgetown-Marine Park-Bergen Beach-Mill Basin,2022,14
Georgetown-Marine Park-Bergen Beach-Mill Basin,2023,23
Georgetown-Marine Park-Bergen Beach-Mill Basin,2024,20
Georgetown-Marine Park-Bergen Beach-Mill Basin,2025,22
Glen Oaks-Floral Park-New Hyde Park,2017,11
Glen Oaks-Floral Park-New Hyde Park,2018,8
Glen Oaks-Floral Park-New Hyde Park,2019,4
Glen Oaks-Floral Park-New Hyde Park,2020,2
Glen Oaks-Floral Park-New Hyde Park,2023,5
Glen Oaks-Floral Park-New Hyde Park,2024,5
Glen Oaks-Floral Park-New Hyde Park,2025,9
Glen Oaks-Floral Park-New Hyde Park,2026,1
Glendale,2017,38
Glendale,2018,25
Glendale,2019,20
Glendale,2020,2
Glendale,2022,6
Glendale,2023,15
Glendale,2024,30
Glendale,2025,40
Glendale,2026,3
Gramercy,2017,15
Gramercy,2018,21
Gramercy,2019,18
Gramercy,2020,3
Gramercy,2022,12
Gramercy,2023,13
Gramercy,2024,15
Gramercy,2025,18
Gramercy,2026,1
Grasmere-Arrochar-Ft. Wadsworth,2017,10
Grasmere-Arrochar-Ft. Wadsworth,2018,3
Grasmere-Arrochar-Ft. Wadsworth,2019,12
Grasmere-Arrochar-Ft. Wadsworth,2020,2
Grasmere-Arrochar-Ft. Wadsworth,2022,9
Grasmere-Arrochar-Ft. Wadsworth,2023,15
Grasmere-Arrochar-Ft. Wadsworth,2024,14
Grasmere-Arrochar-Ft. Wadsworth,2025,20
Grasmere-Arrochar-Ft. Wadsworth,2026,1
Gravesend,2017,29
Gravesend,2018,29
Gravesend,2019,31
Gravesend,2020,4
Gravesend,2022,6
Gravesend,2023,17
Gravesend,2024,19
Gravesend,2025,23
Gravesend,2026,2
Great Kills,2017,5
Great Kills,2018,7
Great Kills,2019,10
Great Kills,2020,2
Great Kills,2021,2
Great Kills,2022,7
Great Kills,2023,20
Great Kills,2024,25
Great Kills,2025,18
Great Kills,2026,2
Greenpoint,2017,25
Greenpoint,2018,23
Greenpoint,2019,18
Greenpoint,2020,5
Greenpoint,2022,13
Greenpoint,2023,28
Greenpoint,2024,42
Greenpoint,2025,36
Greenpoint,2026,3
Grymes Hill-Clifton-Fox Hills,2017,48
Grymes Hill-Clifton-Fox Hills,2018,68
Grymes Hill-Clifton-Fox Hills,2019,55
Grymes Hill-Clifton-Fox Hills,2020,8
Grymes Hill-Clifton-Fox Hills,2021,1
Grymes Hill-Clifton-Fox Hills,2022,14
Grymes Hill-Clifton-Fox Hills,2023,35
Grymes Hill-Clifton-Fox Hills,2024,61
Grymes Hill-Clifton-Fox Hills,2025,63
Grymes Hill-Clifton-Fox Hills,2026,6
Hamilton Heights,2017,141
Hamilton Heights,2018,126
Hamilton Heights,2019,81
Hamilton Heights,2020,14
Hamilton Heights,2022,28
Hamilton Heights,2023,105
Hamilton Heights,2024,145
Hamilton Heights,2025,131
Hamilton Heights,2026,14
Hammels-Arverne-Edgemere,2017,142
Hammels-Arverne-Edgemere,2018,137
Hammels-Arverne-Edgemere,2019,146
Hammels-Arverne-Edgemere,2020,27
Hammels-Arverne-Edgemere,2022,15
Hammels-Arverne-Edgemere,2023,41
Hammels-Arverne-Edgemere,2024,104
Hammels-Arverne-Edgemere,2025,151
Hammels-Arverne-Edgemere,2026,32
Highbridge,2017,166
Highbridge,2018,123
Highbridge,2019,154
Highbridge,2020,19
Highbridge,2022,25
Highbridge,2023,117
Highbridge,2024,130
Highbridge,2025,143
Highbridge,2026,18
Hollis,2017,48
Hollis,2018,75
Hollis,2019,51
Hollis,2020,8
Hollis,2022,4
Hollis,2023,22
Hollis,2024,53
Hollis,2025,52
Hollis,2026,4
Homecrest,2017,50
Homecrest,2018,45
Homecrest,2019,34
Homecrest,2020,4
Homecrest,2022,16
Homecrest,2023,29
Homecrest,2024,40
Homecrest,2025,34
Homecrest,2026,2
Hudson Yards-Chelsea-Flatiron-Union Square,2017,126
Hudson Yards-Chelsea-Flatiron-Union Square,2018,147
Hudson Yards-Chelsea-Flatiron-Union Square,2019,97
Hudson Yards-Chelsea-Flatiron-Union Square,2020,26
Hudson Yards-Chelsea-Flatiron-Union Square,2021,6
Hudson Yards-Chelsea-Flatiron-Union Square,2022,30
Hudson Yards-Chelsea-Flatiron-Union Square,2023,78
Hudson Yards-Chelsea-Flatiron-Union Square,2024,108
Hudson Yards-Chelsea-Flatiron-Union Square,2025,109
Hudson Yards-Chelsea-Flatiron-Union Square,2026,9
Hunters Point-Sunnyside-West Maspeth,2017,86
Hunters Point-Sunnyside-West Maspeth,2018,90
Hunters Point-Sunnyside-West Maspeth,2019,73
Hunters Point-Sunnyside-West Maspeth,2020,23
Hunters Point-Sunnyside-West Maspeth,2022,28
Hunters Point-Sunnyside-West Maspeth,2023,50
Hunters Point-Sunnyside-West Maspeth,2024,106
Hunters Point-Sunnyside-West Maspeth,2025,121
Hunters Point-Sunnyside-West Maspeth,2026,17
Hunts Point,2017,119
Hunts Point,2018,125
Hunts Point,2019,146
Hunts Point,2020,21
Hunts Point,2022,22
Hunts Point,2023,67
Hunts Point,2024,78
Hunts Point,2025,95
Hunts Point,2026,4
Jackson Heights,2017,125
Jackson Heights,2018,115
Jackson Heights,2019,82
Jackson Heights,2020,9
Jackson Heights,2021,1
Jackson Heights,2022,28
Jackson Heights,2023,52
Jackson Heights,2024,137
Jackson Heights,2025,128
Jackson Heights,2026,15
Jamaica,2017,140
Jamaica,2018,129
Jamaica,2019,91
Jamaica,2020,33
Jamaica,2021,2
Jamaica,2022,24
Jamaica,2023,55
Jamaica,2024,160
Jamaica,2025,179
