geoid,county,borough,borocode,tract,nta_code,nta_name,cd_name
36061020102,061,Manhattan,1,020102,MN1001,Harlem (South),MN10 Harlem (CD 10 Equivalent)
36061021600,061,Manhattan,1,021600,MN1001,Harlem (South),MN10 Harlem (CD 10 Equivalent)
36061021800,061,Manhattan,1,021800,MN1001,Harlem (South),MN10 Harlem (CD 10 Equivalent)
36061022000,061,Manhattan,1,022000,MN1001,Harlem (South),MN10 Harlem (CD 10 Equivalent)
36061022200,061,Manhattan,1,022200,MN1001,Harlem (South),MN10 Harlem (CD 10 Equivalent)
36061025700,061,Manhattan,1,025700,MN1001,Harlem (South),MN10 Harlem (CD 10 Equivalent)
36061020800,061,Manhattan,1,020800,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061021200,061,Manhattan,1,021200,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061021400,061,Manhattan,1,021400,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061021500,061,Manhattan,1,021500,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061022102,061,Manhattan,1,022102,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061022400,061,Manhattan,1,022400,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061023000,061,Manhattan,1,023000,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061023200,061,Manhattan,1,023200,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061023400,061,Manhattan,1,023400,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061023502,061,Manhattan,1,023502,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061023600,061,Manhattan,1,023600,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061024302,061,Manhattan,1,024302,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061025900,061,Manhattan,1,025900,MN1002,Harlem (North),MN10 Harlem (CD 10 Equivalent)
36061015602,061,Manhattan,1,015602,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
36061015802,061,Manhattan,1,015802,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
36061016002,061,Manhattan,1,016002,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
