zip_code,year,zori
10960,2015,
10960,2016,
10960,2017,
10960,2018,
10960,2019,
10960,2020,
10960,2021,
10960,2022,
10990,2015,
10990,2016,
10990,2017,
10990,2018,
10990,2019,
10990,2020,
10990,2021,
10990,2022,
10992,2015,
10992,2016,
10992,2017,
10992,2018,
10992,2019,
10992,2020,
10992,2021,
10992,2022,
11003,2015,
11003,2016,
11003,2017,
11003,2018,
11003,2019,
11003,2020,
11003,2021,
11003,2022,
11021,2015,
11021,2016,
11021,2017,
11021,2018,
11021,2019,
11021,2020,
11021,2021,
11021,2022,
11040,2015,
11040,2016,
11040,2017,
11040,2018,
11040,2019,
11040,2020,
11040,2021,
11040,2022,
11050,2015,
11050,2016,
11050,2017,
11050,2018,
11050,2019,
11050,2020,
11050,2021,
11050,2022,
11101,2015,2892.983665423238
11101,2016,2964.6556276089686
11101,2017,2990.5177170284855
11101,2018,2993.9151745505533
11101,2019,3191.670459124114
11101,2020,3150.7277975623488
11101,2021,3259.608059269402
11101,2022,3694.843634839281
11102,2015,2348.4123978457633
11102,2016,2365.2720499963852
11102,2017,2417.9679135309943
11102,2018,2428.3415089750774
11102,2019,2496.2316406198547
11102,2020,2489.5605463220422
11102,2021,2446.2447428256023
11102,2022,2749.7227985148015
11103,2015,1857.8770348653827
11103,2016,1950.6351366874321
11103,2017,1972.380161400958
11103,2018,1981.4296045666542
11103,2019,2037.787533431304
11103,2020,2033.185264492339
11103,2021,2008.4480777222461
11103,2022,2265.0845262742773
11104,2015,
11104,2016,
11104,2017,
11104,2018,
11104,2019,
11104,2020,1983.515955511453
11104,2021,1942.0323592141149
11104,2022,2196.1066765880146
11105,2015,
11105,2016,
11105,2017,
11105,2018,
11105,2019,
11105,2020,2082.3820833978607
11105,2021,2060.6372265977466
11105,2022,2307.931583748
11106,2015,2037.5858926679552
11106,2016,2159.02034357442
11106,2017,2176.5130293509724
11106,2018,2186.5754349213184
11106,2019,2261.57315280085
11106,2020,2258.1582489625257
11106,2021,2197.521767066232
11106,2022,2478.6044624788897
11109,2015,
11109,2016,3115.1212743068104
11109,2017,3085.006848632874
11109,2018,3060.414785870247
11109,2019,3280.662022780609
11109,2020,3251.84200465006
11109,2021,3379.9862690740188
11109,2022,3989.1453944840036
11201,2015,3026.1922164884922
11201,2016,3076.0035016362635
11201,2017,3082.9334742564956
11201,2018,3157.273209278999
11201,2019,3297.3231717448966
11201,2020,3206.7436931752054
11201,2021,3341.1770165443418
11201,2022,3872.230014294486
11203,2015,
11203,2016,
11203,2017,
11203,2018,
11203,2019,
11203,2020,
11203,2021,2214.5741338900093
11203,2022,2520.997854843163
11204,2015,
11204,2016,
11204,2017,
11204,2018,
11204,2019,
11204,2020,
